param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.233618148409541,4.930452590334596,5.386866543680793,0.009611778541870172,UT_004,0-0-1-0,intvr,ow,4794.871794871795,3.7085376227470226,2.669704396788415,1,8,okay,2,0.10999999999999988,"",thank,#,K,"",K,initial
1,0.03900741585819862,0.04405628184950195,-0.03217991290919053,0.009611778541870172,UT_004,0-0-1-0,intvr,ow,4794.871794871795,-0.07364370109896916,-0.013438170170364657,1,8,okay,2,0.10999999999999988,"",thank,#,K,"",K,initial
2,-0.03490363187883679,0.012935450033019285,0.014371708189547657,0.009611778541870172,UT_004,0-0-1-0,intvr,ow,4794.871794871795,-0.0058001000288326185,-0.022507939300941415,1,8,okay,2,0.10999999999999988,"",thank,#,K,"",K,initial
3,-0.0026539439944737652,0.017716794795748704,-0.0005341347345904649,0.009611778541870172,UT_004,0-0-1-0,intvr,ow,4794.871794871795,-0.009559535144159241,0.01514598085323132,1,8,okay,2,0.10999999999999988,"",thank,#,K,"",K,initial
4,-0.04721186007050857,-0.004713489282499298,0.006991475236986853,0.009611778541870172,UT_004,0-0-1-0,intvr,ow,4794.871794871795,-0.0011206839026511634,0.013378718953422908,1,8,okay,2,0.10999999999999988,"",thank,#,K,"",K,initial
0,4.399898920288996,4.961910311835711,5.456436340952519,0.010333673374320158,UT_004,0-0-125-0,intvr,ow,4974.358974358975,2.7881473926245235,2.719470423802027,1,8,okay,2,0.15000100000000316,"","",#,K,"",K,initial
1,0.12299275662055056,0.09204823808776216,-0.005580459188722561,0.010333673374320158,UT_004,0-0-125-0,intvr,ow,4974.358974358975,-1.0434511936909985,-0.02246267476142247,1,8,okay,2,0.15000100000000316,"","",#,K,"",K,initial
2,-0.014756186914144709,0.010946892706256832,0.013748974501202996,0.010333673374320158,UT_004,0-0-125-0,intvr,ow,4974.358974358975,-0.6105322939838516,-0.006749254967379895,1,8,okay,2,0.15000100000000316,"","",#,K,"",K,initial
3,-0.01687812862855558,-0.002986646195175973,0.01511351718330754,0.010333673374320158,UT_004,0-0-125-0,intvr,ow,4974.358974358975,-0.28888644799008034,0.014622153034913075,1,8,okay,2,0.15000100000000316,"","",#,K,"",K,initial
4,0.021137497418311824,0.005054169997555954,0.0015466917063435268,0.010333673374320158,UT_004,0-0-125-0,intvr,ow,4974.358974358975,-0.07478511133558641,-0.0012251591875850343,1,8,okay,2,0.15000100000000316,"","",#,K,"",K,initial
0,4.3505553367348195,4.744502627765226,5.347633215734154,0.0007655367276007237,UT_004,0-0-134-0,intvr,ow,4615.384615384615,4.264985949446048,2.6492284932466124,1,8,old,1,0.05999800000000022,how,are,#,L,aw,L,initial
1,0.03225335627025613,0.06757336065013715,0.010067818241467323,0.0007655367276007237,UT_004,0-0-134-0,intvr,ow,4615.384615384615,-0.03830094971970962,-0.07847079074858776,1,8,old,1,0.05999800000000022,how,are,#,L,aw,L,initial
2,0.005554529266345295,-0.021470609490057156,0.00204476060754213,0.0007655367276007237,UT_004,0-0-134-0,intvr,ow,4615.384615384615,-0.02311026438828078,0.008600219812564092,1,8,old,1,0.05999800000000022,how,are,#,L,aw,L,initial
3,-0.013990645153086838,-0.01603156813521559,-0.060113840857070534,0.0007655367276007237,UT_004,0-0-134-0,intvr,ow,4615.384615384615,-0.01109403397046354,0.008790697186925822,1,8,old,1,0.05999800000000022,how,are,#,L,aw,L,initial
4,-0.012277753183118224,0.001648463243291337,0.007191069922573179,0.0007655367276007237,UT_004,0-0-134-0,intvr,ow,4615.384615384615,-0.003725650930025006,0.007289198547740128,1,8,old,1,0.05999800000000022,how,are,#,L,aw,L,initial
0,4.332706939887769,5.029545211358632,5.372134036904447,0.003383877202647454,UT_004,0-0-141-0,intvr,ow,5153.846153846154,3.3184806358726333,2.655236123503835,1,8,okay,2,0.15999899999999911,"","",#,K,"",K,initial
1,0.05565404837677992,0.033609574903118104,-0.009883141042719588,0.003383877202647454,UT_004,0-0-141-0,intvr,ow,5153.846153846154,0.11132750850940493,-0.013399048458413379,1,8,okay,2,0.15999899999999911,"","",#,K,"",K,initial
2,-0.014096901243971914,0.013458363804925476,0.002245468148588298,0.003383877202647454,UT_004,0-0-141-0,intvr,ow,5153.846153846154,0.07665257740739148,-0.005531287725467682,1,8,okay,2,0.15999899999999911,"","",#,K,"",K,initial
3,-0.01742921758514802,0.018187909484430435,-0.006631668601768074,0.003383877202647454,UT_004,0-0-141-0,intvr,ow,5153.846153846154,0.05710191648572866,-0.00795669864320005,1,8,okay,2,0.15999899999999911,"","",#,K,"",K,initial
4,-0.013912761292203616,0.014499736541709591,0.000542457075761126,0.003383877202647454,UT_004,0-0-141-0,intvr,ow,5153.846153846154,0.04826306089143846,0.00038122911343885235,1,8,okay,2,0.15999899999999911,"","",#,K,"",K,initial
0,4.455050197641078,5.006933393801564,5.502146354529196,0.0010875737360486904,UT_004,0-0-180-0,intvr,ow,5153.846153846154,-19.577186584472656,2.8018754700086523,1,8,ok,1,0.13000499999999704,"","",#,K,"",K,initial
1,0.09333823017559605,0.031049823899107338,0.007425972095400988,0.0010875737360486904,UT_004,0-0-180-0,intvr,ow,5153.846153846154,-27.25369691848755,-0.0648867124538228,1,8,ok,1,0.13000499999999704,"","",#,K,"",K,initial
2,-0.013304905181955522,-0.001471503744565048,-0.01430909397548133,0.0010875737360486904,UT_004,0-0-180-0,intvr,ow,5153.846153846154,-14.98296070098877,-0.013696128665133894,1,8,ok,1,0.13000499999999704,"","",#,K,"",K,initial
3,0.009878490695072448,-0.00014880317082347568,0.01597677544956378,0.0010875737360486904,UT_004,0-0-180-0,intvr,ow,5153.846153846154,-5.067147791385651,-0.0036834609566590722,1,8,ok,1,0.13000499999999704,"","",#,K,"",K,initial
4,0.008819232343842739,0.011366318697709932,0.003939464992396831,0.0010875737360486904,UT_004,0-0-180-0,intvr,ow,5153.846153846154,-0.799690842628479,-0.0031758667354380155,1,8,ok,1,0.13000499999999704,"","",#,K,"",K,initial
0,4.348260441771115,4.890969343709326,5.525332381261458,0.00030052338721633443,UT_004,0-0-192-0,intvr,ow,4974.358974358975,3.5442787612265643,2.952557060885587,1,8,ok,1,0.09999799999999937,"","",#,K,"",K,initial
1,0.03287964177599268,0.029830143418766955,-0.001375568095552242,0.00030052338721633443,UT_004,0-0-192-0,intvr,ow,4974.358974358975,0.000846048476984329,0.005560492646677369,1,8,ok,1,0.09999799999999937,"","",#,K,"",K,initial
