param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.616727210526883,5.065160115476852,5.400616435155647,0.0006832157233364997,UT_013,0-0-1-0,intvr,ow,3897.4358974358975,NaN,2.5637384861482144,1,5,okay,2,0.09000000000000008,"","",#,K,"",K,initial
1,0.00607562806662607,0.012610798770800607,-0.0029013020408778243,0.0006832157233364997,UT_013,0-0-1-0,intvr,ow,3897.4358974358975,NaN,-0.014023154309806786,1,5,okay,2,0.09000000000000008,"","",#,K,"",K,initial
2,-0.03534957311218253,-0.002091591859959392,-0.005190227248462774,0.0006832157233364997,UT_013,0-0-1-0,intvr,ow,3897.4358974358975,NaN,0.0023087804016880265,1,5,okay,2,0.09000000000000008,"","",#,K,"",K,initial
3,0.02952182277718287,0.004312966816331592,0.0014235263386620548,0.0006832157233364997,UT_013,0-0-1-0,intvr,ow,3897.4358974358975,NaN,-0.004202942516406485,1,5,okay,2,0.09000000000000008,"","",#,K,"",K,initial
4,-0.0062732741007654825,0.009148547192947056,0.0054475355913193085,0.0006832157233364997,UT_013,0-0-1-0,intvr,ow,3897.4358974358975,NaN,0.0004835383496251122,1,5,okay,2,0.09000000000000008,"","",#,K,"",K,initial
0,4.491961055811941,4.974318274099683,5.398863326631146,0.00034467771802127335,UT_013,0-0-177-0,intvr,ow,4076.923076923077,4.491135401802513,2.5972405113058095,1,5,okay,2,0.08000200000000746,"","",#,K,"",K,initial
1,0.007348273607210186,0.03102832967868789,-0.009085678499587682,0.00034467771802127335,UT_013,0-0-177-0,intvr,ow,4076.923076923077,0.0074186268938806425,-0.04635849588750407,1,5,okay,2,0.08000200000000746,"","",#,K,"",K,initial
2,-0.0019367692568724867,0.014357067739056512,0.0039016490731174918,0.00034467771802127335,UT_013,0-0-177-0,intvr,ow,4076.923076923077,-0.002161581905167395,-0.01804664439687631,1,5,okay,2,0.08000200000000746,"","",#,K,"",K,initial
3,0.0074266994944388615,0.0006341878300928753,0.0005812271592260113,0.00034467771802127335,UT_013,0-0-177-0,intvr,ow,4076.923076923077,0.0037078934224143065,-0.0041512718126561765,1,5,okay,2,0.08000200000000746,"","",#,K,"",K,initial
4,0.00637171200349958,-0.009412419537092872,-0.0035221483453972977,0.00034467771802127335,UT_013,0-0-177-0,intvr,ow,4076.923076923077,0.0039025162400721566,-0.0016158852193328688,1,5,okay,2,0.08000200000000746,"","",#,K,"",K,initial
0,4.53409305387459,5.434803695193915,5.630867147359396,0.011945762406950748,UT_013,0-0-203-0,intvr,ow,6230.7692307692305,3.8305510146028348,2.529561787901383,1,5,okay,2,0.09999799999999937,"","",#,K,"",K,initial
1,-0.13522079577872037,-0.0078953325820115,-0.005576648968694979,0.011945762406950748,UT_013,0-0-203-0,intvr,ow,6230.7692307692305,-0.0732732586635791,0.0106202522021131,1,5,okay,2,0.09999799999999937,"","",#,K,"",K,initial
2,-0.07244378534967455,0.003078165595662894,-0.008301456577309331,0.011945762406950748,UT_013,0-0-203-0,intvr,ow,6230.7692307692305,0.011906008360979875,0.03918497362890849,1,5,okay,2,0.09999799999999937,"","",#,K,"",K,initial
3,-0.007734171465476318,-0.0024434337491860076,-0.017533289238141975,0.011945762406950748,UT_013,0-0-203-0,intvr,ow,6230.7692307692305,-0.01011907920463098,-0.006117276628211432,1,5,okay,2,0.09999799999999937,"","",#,K,"",K,initial
4,0.028749783607722228,0.002132281427463736,0.020380255450053803,0.011945762406950748,UT_013,0-0-203-0,intvr,ow,6230.7692307692305,-0.0017099984668742815,-0.006138420106213349,1,5,okay,2,0.09999799999999937,"","",#,K,"",K,initial
0,4.437206255268546,4.680041008331658,5.406535624732274,0.00086261012464395,UT_013,0-0-241-0,intvr,ow,4435.897435897436,4.440870741531212,2.6388982748119725,1,5,only,1,0.06999200000001338,"",in,#,N,"",N,initial
1,0.04069074750708128,0.0640054977892717,0.0074504759397792915,0.00086261012464395,UT_013,0-0-241-0,intvr,ow,4435.897435897436,0.03412142809841531,-0.04231349345931745,1,5,only,1,0.06999200000001338,"",in,#,N,"",N,initial
2,-0.0016014980815810263,-0.003481692866508684,-0.012965198405402788,0.00086261012464395,UT_013,0-0-241-0,intvr,ow,4435.897435897436,-0.004574888092017867,-0.0038227518595221888,1,5,only,1,0.06999200000001338,"",in,#,N,"",N,initial
3,-0.01873541553253118,0.02306244229663255,-0.00644402068556663,0.00086261012464395,UT_013,0-0-241-0,intvr,ow,4435.897435897436,-0.0128169510383929,-0.004359091016153505,1,5,only,1,0.06999200000001338,"",in,#,N,"",N,initial
4,-0.01106500574753668,-0.0008855148414254805,-0.002735491892866486,0.00086261012464395,UT_013,0-0-241-0,intvr,ow,4435.897435897436,-0.005065102886675388,-0.002346361524367513,1,5,only,1,0.06999200000001338,"",in,#,N,"",N,initial
0,4.4594088078634515,5.000941612060752,5.459178213681518,0.0006153950850880911,UT_013,0-0-250-0,intvr,ow,4974.358974358975,4.456082304089265,2.6637578489230096,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
1,0.035045342273609136,-0.0002498352993718843,-0.0013641053379969043,0.0006153950850880911,UT_013,0-0-250-0,intvr,ow,4974.358974358975,0.034102126963521856,-0.03797240297589526,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
2,-0.008559936565879459,-0.00016558888692888156,0.000581863705472879,0.0006153950850880911,UT_013,0-0-250-0,intvr,ow,4974.358974358975,-0.005752235145543626,0.006052164389626968,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
3,-0.00480438443589955,0.004748417492067535,0.0016738398339973292,0.0006153950850880911,UT_013,0-0-250-0,intvr,ow,4974.358974358975,-0.0034699366807390626,-0.000980961430790099,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
4,0.008081751465021398,-0.0030001564140479014,-0.0031392011360116337,0.0006153950850880911,UT_013,0-0-250-0,intvr,ow,4974.358974358975,0.004227572647552555,-0.014626316849208454,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
0,4.60961378173775,5.4414793878126835,5.624290043327832,0.0020078831678145993,UT_013,0-0-261-0,intvr,ow,5512.820512820513,3.8080663077282226,2.6744713555484525,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
1,-0.052889246891991475,-0.011225671687873582,0.02189966580327879,0.0020078831678145993,UT_013,0-0-261-0,intvr,ow,5512.820512820513,-0.005974531971798301,0.008775329041993185,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
2,-0.03173325035800891,-0.014171155628193564,-0.013825347868348629,0.0020078831678145993,UT_013,0-0-261-0,intvr,ow,5512.820512820513,-0.004165262941763932,0.0007440081922904795,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
3,-0.033396660590463596,-0.016520402489630975,-0.019584079105588167,0.0020078831678145993,UT_013,0-0-261-0,intvr,ow,5512.820512820513,-0.0008028152936743614,0.009119145693399,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
4,-0.007605011587997716,-0.011460118334058094,-0.028546764730902906,0.0020078831678145993,UT_013,0-0-261-0,intvr,ow,5512.820512820513,-0.001144293629221341,-0.00472892466038477,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
0,4.411532498670387,4.957823073118852,5.413470055235474,0.00046595821894074557,UT_013,0-0-287-0,intvr,ow,3897.4358974358975,4.04905175405725,2.575576662354434,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
1,0.05588326649768908,0.015273498163392409,-0.004836407637164717,0.00046595821894074557,UT_013,0-0-287-0,intvr,ow,3897.4358974358975,0.33921174005486004,-0.014336244598015302,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
2,0.01887783319504428,-0.0007756509273328265,-0.0014060751696221545,0.00046595821894074557,UT_013,0-0-287-0,intvr,ow,3897.4358974358975,0.06947140265801124,0.002502386936005241,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
3,-0.026842445065982615,0.009986915445569467,-0.0028870861201200386,0.00046595821894074557,UT_013,0-0-287-0,intvr,ow,3897.4358974358975,-0.10297643244279558,-0.00003014010477864204,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
4,0.013829570721404038,0.002183723286493482,0.004359651588250083,0.00046595821894074557,UT_013,0-0-287-0,intvr,ow,3897.4358974358975,-0.0475059732952165,-0.0022592689358611473,1,5,okay,2,0.06999199999998496,"","",#,K,"",K,initial
0,4.407795968065251,5.5301985906505475,5.817848926323979,0.0018168633327410757,UT_013,0-0-312-0,intvr,ow,8205.128205128205,3.8080558837847116,2.6085113720711117,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
1,-0.060678688322173956,0.0037257367649802912,-0.010407278351542313,0.0018168633327410757,UT_013,0-0-312-0,intvr,ow,8205.128205128205,-0.0370667001739331,0.01146844042183266,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
2,-0.03673524834188093,-0.016414684589343878,-0.007780443664338407,0.0018168633327410757,UT_013,0-0-312-0,intvr,ow,8205.128205128205,-0.0073445551406485015,0.006405715571405124,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
3,0.027971576695722623,0.0001908146126050432,-0.009462492563132068,0.0018168633327410757,UT_013,0-0-312-0,intvr,ow,8205.128205128205,-0.0015122588518512946,0.00018295709963016556,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
4,-0.011743313064023646,-0.0018440216738127816,0.007951710878960325,0.0018168633327410757,UT_013,0-0-312-0,intvr,ow,8205.128205128205,-0.0005399152764158887,-0.000634849278207783,1,5,okay,2,0.08999699999998256,"","",#,K,"",K,initial
0,4.443544425898694,4.901085385732882,5.413719989063162,0.00047652037432084637,UT_013,0-0-356-0,intvr,ow,4794.871794871795,3.8487440778241235,2.61296492016859,1,5,okay,2,0.10000600000000759,"","",#,K,"",K,initial
1,0.019948684319806943,-0.0014925990488315964,-0.017386646617164096,0.00047652037432084637,UT_013,0-0-356-0,intvr,ow,4794.871794871795,0.24379886128420233,-0.012632890552902065,1,5,okay,2,0.10000600000000759,"","",#,K,"",K,initial
2,-0.01347649019622987,0.005980904937956631,0.0027822965361467876,0.00047652037432084637,UT_013,0-0-356-0,intvr,ow,4794.871794871795,0.2153391057206488,0.0025410083566317354,1,5,okay,2,0.10000600000000759,"","",#,K,"",K,initial
3,-0.0185341821458703,0.008477877212316434,-0.001995006688132685,0.00047652037432084637,UT_013,0-0-356-0,intvr,ow,4794.871794871795,0.09463876706728287,-0.0006228510366671414,1,5,okay,2,0.10000600000000759,"","",#,K,"",K,initial
4,-0.010516985381924178,-0.0008052462463969244,-0.009681574148412496,0.00047652037432084637,UT_013,0-0-356-0,intvr,ow,4794.871794871795,0.0005039604738642234,0.0018312667286169981,1,5,okay,2,0.10000600000000759,"","",#,K,"",K,initial
0,4.540560593007033,4.911876369107839,5.434128027595129,0.0021862706843839377,UT_013,0-0-551-1,intvr,ow,5153.846153846154,4.487233212541241,2.483848957258144,1,5,most,1,0.10998600000004899,the,"",M,S,M,S,internal
1,-0.02038943865207064,0.025727026755755816,-0.007743918922725372,0.0021862706843839377,UT_013,0-0-551-1,intvr,ow,5153.846153846154,-0.0069391307317800965,0.04033116017302839,1,5,most,1,0.10998600000004899,the,"",M,S,M,S,internal
2,0.015818451375770266,-0.002004799561888156,0.000612944191322295,0.0021862706843839377,UT_013,0-0-551-1,intvr,ow,5153.846153846154,-0.003138453461588142,-0.01758975625890133,1,5,most,1,0.10998600000004899,the,"",M,S,M,S,internal
3,-0.01459955210323568,0.009053640471649667,-0.00933881320126143,0.0021862706843839377,UT_013,0-0-551-1,intvr,ow,5153.846153846154,-0.010162802482568623,0.014195307803259602,1,5,most,1,0.10998600000004899,the,"",M,S,M,S,internal
