F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
548.3809423238141,1917.0155355687286,2801.57762019244,3.0022418307892487,4.168200367346131,3.4880074594671733,5153.846153846154,0.0000685953887249221,0.38574716553287985,0.031,0.32978723404255317,0-0-3-1,u,UT_008,008,1,fave,287.05098987611063,46.78950210851454,6,good,1,0.07,"","",G,D,G,D,internal
770.2456375847573,1988.5374061574234,2931.904747918612,3.2077730569147915,3.749328856769923,3.632671439715824,5871.794871794871,0.00446250500851201,307.7489458344671,0.20099999999999998,0.3327814569536423,0-0-327-1,u,UT_008,008,1,fave,205.61963505398288,47.796310819040315,6,would,1,0.580016999999998,"",say,W,D,W,D,internal
527.0542791793633,1383.8617557980665,3057.2556904963935,3.0439142339241596,3.5616811674576065,3.4849032248458913,5871.794871794871,0.000014279840738250865,433.31435083446706,0.027000000000000003,0.32142857142857145,0-0-537-1,u,UT_008,008,1,fave,236.9053195997614,62.61734461636247,6,looking,1,0.05999800000000732,start,at,L,K,L,K,internal
547.815244056375,1343.5776508025062,3085.113697684956,3.0567174491571,3.9951740407517287,3.6110088091392454,6051.282051282051,0.00006160447117840943,459.00695550340134,0.035,0.3365384615384616,0-0-630-1,u,UT_008,008,1,fave,224.86260672462902,57.86221690187152,6,look,1,0.080016999999998,actually,like,L,K,L,K,internal
579.8980193957253,1298.5594283340565,2942.719394794463,2.8176557030776976,3.2662306815986573,3.584403021735748,6051.282051282051,0.000044704888206577716,606.3533378344671,0.031,0.32978723404255317,0-0-983-1,u,UT_008,008,1,fave,199.19567310298203,57.30071031764089,6,look,1,0.07000800000002982,to,fairly,L,K,L,K,internal
530.1978861457637,1832.0852793214096,3102.1000059260227,3.132277879889535,3.408408800939123,3.6766242468905608,6051.282051282051,2.4107484071833983e-6,745.2175371723357,0.025,0.33783783783783783,0-0-1206-1,u,UT_008,008,1,fave,265.1353858306602,57.301318854144775,6,should,1,0.0500489999999445,it,look,SH,D,SH,D,internal
692.7730049658095,1276.6687983088664,3254.8637363077087,3.2100138817045214,4.0306299267039085,3.3959482092191675,6410.25641025641,0.0004327216084416856,745.3925598344671,0.055,0.3353658536585366,0-0-1207-1,u,UT_008,008,1,fave,274.60961231072946,58.9571179631871,6,look,1,0.1400149999999485,should,"",L,K,L,K,internal
588.1250149705309,1319.226117719316,3175.6953362553495,3.149037049644396,3.234586742956716,3.4322783893160262,5692.3076923076915,0.00003112997212717397,766.2246588276645,0.031,0.32978723404255317,0-0-1283-1,u,UT_008,008,1,fave,234.96226914409328,58.48281368589486,6,look,1,0.06994699999995646,didn't,good,L,K,L,K,internal
555.2014047252582,1785.41686862307,2647.4864503799395,2.3185725077970534,3.182135766770055,3.0579907119766117,5871.794871794871,0.0001388225031348644,766.426627834467,0.035,0.3365384615384616,0-0-1284-1,u,UT_008,008,1,fave,559.0256311234103,57.70410731304323,6,good,1,0.080016999999998,look,"",G,D,G,D,internal
559.8635963493297,1411.1166864412794,2902.566164548423,2.572609046371008,3.0236290699174777,3.0748107116722645,6051.282051282051,0.00031343581549868744,1010.0802421655329,0.045,0.3358208955223881,0-0-1666-1,u,UT_008,008,1,fave,530.1105322715334,52.0630549858182,6,woods,1,0.10998499999993783,the,"",W,D,W,D,internal
