F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
534.7298873977385,1295.9839454398448,2579.6065241151646,3.7751792506132276,3.51454539727114,4.668922606634409,4435.897435897436,0.0035589560830973904,1.9527471655328796,0.025,0.18656716417910452,0-0-1-0,ow,UT_006,intvr,1,fave,130.59194814757439,36.8657369337326,4,okay,2,0.10999999999999988,"","",#,K,"",K,initial
459.20772744769783,1188.3848124846622,2742.5600619380766,3.1780953803561554,4.237929427426894,4.468695212358322,5512.820512820513,0.007689385151239505,87.57505116553288,0.033,0.26612903225806456,0-0-174-1,ow,UT_006,intvr,1,fave,186.03787756982493,43.74349447528401,4,those,1,0.09999799999999937,list,"",DH,Z,DH,Z,internal
546.6367098390253,1278.140605566994,2300.8167923794986,2.460946088879565,3.55695419118943,3.237761432343055,4076.923076923077,0.00039379942900604755,90.19025083446712,0.025,0.18656716417910452,0-0-176-0,ow,UT_006,intvr,1,fave,238.42101267695975,52.2925387624304,4,okay,2,0.10999999999999943,"","",#,K,"",K,initial
440.75411164039906,1594.132894490158,2536.6908777925337,3.7604411555596644,4.247076671532695,4.674835865944482,4974.358974358975,0.01725615439359421,124.56044716553288,0.029,0.18831168831168832,0-0-198-0,ow,UT_006,intvr,1,fave,176.12862317944843,40.34246206995672,4,ok,1,0.12999700000000303,"","",#,K,"",K,initial
539.043342838062,1421.5514728325504,2805.2098447712297,3.744277889703878,4.2906851295240385,4.3241940459344015,6230.7692307692305,0.003317511178764181,150.4056461655329,0.025,0.24038461538461545,0-0-231-0,ow,UT_006,intvr,1,fave,196.6865795838521,42.55853945786003,4,ok,1,0.08000100000000998,"","",#,K,"",K,initial
400.9351433825563,1552.2756615376566,2360.531340551939,3.583279610321687,4.404190385251155,4.421082957618457,5153.846153846154,0.0005080556975531992,179.93114883446714,0.025,0.26595744680851063,0-0-274-0,ow,UT_006,intvr,1,fave,256.91063462858045,44.156823623855026,4,ok,1,0.07000700000000393,"","",#,K,"",K,initial
487.743795491153,1254.671636681759,2286.5601150975613,3.2361246440376297,3.7507853010619447,3.9746452514869075,4974.358974358975,0.004602214501822356,363.16295516553294,0.025,0.15243902439024393,0-0-441-1,ow,UT_006,intvr,1,fave,215.5724132097241,39.849488397969935,4,going,1,0.1399839999999699,of,"",G,i,G,i,internal
461.05467775935523,1323.1057376060442,2568.450533064753,2.9353898578332562,3.679087668473442,4.202445157306166,4974.358974358975,0.00030677575098256684,372.1329504965986,0.025,0.26595744680851063,0-0-471-1,ow,UT_006,intvr,1,fave,471.45793368645246,43.2979308637992,4,those,1,0.0699769999999944,about,vacations,DH,Z,DH,Z,internal
512.1610634581663,1269.3932970412795,2272.29391146554,3.339922951145354,3.977091216716533,4.151201673267848,4974.358974358975,0.0014259220406209615,407.48075149659866,0.027,0.21774193548387097,0-0-509-0,ow,UT_006,intvr,1,fave,339.65542658973584,45.17014347665594,4,ok,1,0.09997599999996964,"","",#,K,"",K,initial
530.8991242656749,868.1577714276526,2367.2920124887364,3.46319500262775,3.865536161264993,4.084692308612007,5153.846153846154,0.004163199078498822,427.6644508344672,0.035,0.26119402985074636,0-0-559-0,ow,UT_006,intvr,1,fave,225.32807758903493,46.10237233828368,4,ok,1,0.11001599999997325,"","",#,K,"",K,initial
