F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
459.1296066316903,1597.8602027517445,2421.4620966358284,3.0615664907312548,3.6014218480123086,4.05714463123283,4435.897435897436,0.00008737090432013037,3.16154716553288,0.027000000000000003,0.32142857142857145,0-0-3-1,ae,UT_015,intvr,1,fave,156.09013198936,46.98061802168134,8,thank,1,0.06000000000000005,"",you,TH,NG,TH,NG,internal
601.1576096164782,1937.8256917810102,2978.7989168113672,3.6433314529737806,3.6949573084312,4.651254051649621,6589.74358974359,0.003485701931855497,14.68614716553288,0.08100000000000002,0.3319672131147542,0-0-41-0,ae,UT_015,intvr,1,fave,243.2242711590807,43.820042225335364,8,ask,1,0.21999999999999886,i,"",#,S,ay,S,initial
686.3912664342338,1345.2541636717783,2513.158173613518,3.3202604948181116,3.752529006046073,4.3108389289564615,5692.3076923076915,0.0006815093209068922,17.62414716553288,0.037,0.32456140350877194,0-0-47-0,ae,UT_015,intvr,1,fave,103.54070810426126,41.668407647096174,8,ask,1,0.08999999999999986,"",for,#,S,"",S,initial
763.2578697462319,1526.2105126576478,2378.663590408295,3.236385437107389,4.04938104310252,4.641976590027758,5871.794871794871,0.0023412560551098463,24.89614716553288,0.061000000000000006,0.3315217391304348,0-0-67-1,ae,UT_015,intvr,1,fave,396.97999643210136,38.10232979552352,8,task,1,0.16000000000000014,"","",T,S,T,S,internal
522.6833036764665,1581.4047876588213,2610.9286366823358,3.2272048066533316,3.909317413984616,4.011797256625515,4974.358974358975,0.0008745773017518599,30.91914816553288,0.047,0.3263888888888889,0-0-79-0,ae,UT_015,intvr,1,fave,96.37370360750077,35.44775783304742,8,and,1,0.11999899999999997,"","",#,N,"",N,initial
642.271349364465,1496.050311859356,3111.7200966298956,3.1866732860070255,4.026819004037988,5.030514287079971,6230.7692307692305,0.0007482297842651942,32.604747165532885,0.027000000000000003,0.32142857142857145,0-0-83-1,ae,UT_015,intvr,1,fave,96.08846502704486,41.823106262460236,8,have,1,0.06000099999999975,just,you,HH,V,HH,V,internal
721.8684149043231,1543.4723040064232,2569.0860676549228,3.5008805801266996,4.192540455097996,4.334296893450885,5512.820512820513,0.003474863292751873,33.526746165532884,0.051000000000000004,0.3311688311688312,0-0-88-0,ae,UT_015,intvr,1,fave,265.64496692810684,58.43436649136965,8,at,1,0.1300019999999975,"","",#,T,"",T,initial
475.69509351160656,1832.5212244239299,2697.6956451750866,2.828472730364706,4.148977522276461,4.387957774244385,4794.871794871795,0.0007487198888350479,44.832850834467116,0.037000000000000005,0.324561403508772,0-0-108-0,ae,UT_015,intvr,1,fave,116.6877272886668,38.6234681369732,8,and,1,0.09000100000000089,"",what,#,N,"",N,initial
566.2224670445871,1696.843140865656,2657.881437104878,3.099849602502154,3.7170020488650835,4.189607006960962,4794.871794871795,0.0009214802955994272,62.95824516553288,0.035,0.33653846153846156,0-0-139-0,ae,UT_015,intvr,1,fave,113.76101224950862,32.62350178354418,8,and,1,0.08000200000000035,"",fr,#,N,"",N,initial
448.26052526789675,1644.9913261128727,2547.265099272555,3.048158982131613,3.6613310383440973,3.9522985749629522,5692.3076923076915,0.000026119828203340183,109.20705083446713,0.025,0.33783783783783783,0-0-165-1,ae,UT_015,intvr,1,fave,140.4011639248447,41.07675749496357,8,thank,1,0.050002999999989584,awesome,you,TH,NG,TH,NG,internal
