param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,369.3806323495052,857.94392007266,1618.2102468537635,0.009864428711944524,UT_003,0-0-1-0,intvr,ow,4615.384615384615,101.39681913686191,24.72452555585083,1,4,okay,2,0.09999999999999987,"","",#,K,"",K,initial
1,42.017149877458856,113.89870610287532,17.18502380838856,0.009864428711944524,UT_003,0-0-1-0,intvr,ow,4615.384615384615,-5.289202992667498,-1.9344241414904317,1,4,okay,2,0.09999999999999987,"","",#,K,"",K,initial
2,-11.633983158187874,12.256636440842835,19.05665642051546,0.009864428711944524,UT_003,0-0-1-0,intvr,ow,4615.384615384615,1.320727373356334,0.5525684050173734,1,4,okay,2,0.09999999999999987,"","",#,K,"",K,initial
3,27.141034006429848,-2.8141942659587933,8.99781635146997,0.009864428711944524,UT_003,0-0-1-0,intvr,ow,4615.384615384615,-0.36231815967244785,-0.17906710578511387,1,4,okay,2,0.09999999999999987,"","",#,K,"",K,initial
4,-1.0135336917796827,-17.09865424013902,-29.23446901969974,0.009864428711944524,UT_003,0-0-1-0,intvr,ow,4615.384615384615,0.5547000987343012,-0.1205829102913416,1,4,okay,2,0.09999999999999987,"","",#,K,"",K,initial
0,272.2377064055199,676.4961651910952,1848.4366850013948,0.0005156429521784855,UT_003,0-0-44-3,intvr,ow,4615.384615384615,90.45872480371344,35.406540049694556,1,4,followed,0,0.0999990000000004,"","",L,D,L,D,internal
1,3.376096629190346,-43.88925506618294,90.61186024637765,0.0005156429521784855,UT_003,0-0-44-3,intvr,ow,4615.384615384615,0.9484939201498601,1.0180801134675175,1,4,followed,0,0.0999990000000004,"","",L,D,L,D,internal
2,-0.4006629715542326,-6.887541097969077,21.130180218956614,0.0005156429521784855,UT_003,0-0-44-3,intvr,ow,4615.384615384615,-0.2556841371742567,-0.41538942693224534,1,4,followed,0,0.0999990000000004,"","",L,D,L,D,internal
3,0.35550953446258166,1.6279729672655427,13.817290215339918,0.0005156429521784855,UT_003,0-0-44-3,intvr,ow,4615.384615384615,0.17734881343731018,0.0736892510481697,1,4,followed,0,0.0999990000000004,"","",L,D,L,D,internal
4,-0.5291437616616785,0.9508049830345825,-5.272134687968607,0.0005156429521784855,UT_003,0-0-44-3,intvr,ow,4615.384615384615,-0.10608099311977225,-0.1177262358577682,1,4,followed,0,0.0999990000000004,"","",L,D,L,D,internal
0,390.68381979339597,849.5323287844394,1593.729644804723,0.0022103561493720804,UT_003,0-0-105-0,intvr,ow,4435.897435897436,87.64856768273906,34.77564221563956,1,4,okay,2,0.1399990000000031,"","",#,K,"",K,initial
1,18.596825099910667,86.44311908864276,19.11265529196264,0.0022103561493720804,UT_003,0-0-105-0,intvr,ow,4435.897435897436,-15.177768303916272,-1.1217832565223638,1,4,okay,2,0.1399990000000031,"","",#,K,"",K,initial
2,-7.927607472215741,18.54938773117797,9.463303285673417,0.0022103561493720804,UT_003,0-0-105-0,intvr,ow,4435.897435897436,10.282686771100606,-1.0889383224436358,1,4,okay,2,0.1399990000000031,"","",#,K,"",K,initial
3,19.637856420862636,1.1381093187521716,-11.829326933442308,0.0022103561493720804,UT_003,0-0-105-0,intvr,ow,4435.897435897436,-7.528018986224107,0.6865446281417431,1,4,okay,2,0.1399990000000031,"","",#,K,"",K,initial
4,0.1117936557071628,-13.21560777664406,-0.5022261732234254,0.0022103561493720804,UT_003,0-0-105-0,intvr,ow,4435.897435897436,3.188386395957008,0.28761712388741145,1,4,okay,2,0.1399990000000031,"","",#,K,"",K,initial
0,329.71131291287014,788.0392707040265,1567.6632421937854,0.0002040623206434078,UT_003,0-0-153-0,intvr,ow,4256.410256410256,145.5033595173274,32.101293530618634,1,4,okay,2,0.060001999999997224,"","",#,K,"",K,initial
