param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.432632077849894,5.303076719819342,5.514184005019943,0.006378324063438435,UT_017,0-0-1-2,intvr,eyF,4974.358974358975,3.8886527500895505,2.683087881416902,1,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
1,0.06038170744684302,-0.030497001744678787,-0.018628476330973726,0.006378324063438435,UT_017,0-0-1-2,intvr,eyF,4974.358974358975,-0.4378321308489154,0.040014877966288734,1,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
2,0.03352341504339691,-0.010411727000327341,0.006916846623694105,0.006378324063438435,UT_017,0-0-1-2,intvr,eyF,4974.358974358975,-0.1452376924425976,-0.033430317545864584,1,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
3,-0.03425417569008688,-0.007602262136114331,-0.005611621915448217,0.006378324063438435,UT_017,0-0-1-2,intvr,eyF,4974.358974358975,0.024337825236562693,-0.029935043878619325,1,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
4,0.007940870407781778,0.0050653273306723754,0.0051844385791098915,0.006378324063438435,UT_017,0-0-1-2,intvr,eyF,4974.358974358975,0.08195542295404132,0.014898224645584296,1,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
0,4.244223149563967,5.295054252971224,5.514765869927571,0.000981949179544817,UT_017,0-0-36-0,intvr,eyF,4615.384615384615,4.227168459628972,2.7344998622173438,1,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
1,0.04804761707889655,-0.031106471367948998,0.004684452070844621,0.000981949179544817,UT_017,0-0-36-0,intvr,eyF,4615.384615384615,0.0510902056107491,0.009608444674205546,1,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
2,-0.010195681625446616,-0.011656763186784304,0.00319247759065871,0.000981949179544817,UT_017,0-0-36-0,intvr,eyF,4615.384615384615,-0.01312393169788513,-0.014654274940088946,1,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
3,-0.000341832525267373,-0.014965798545958022,0.00009023518857632982,0.000981949179544817,UT_017,0-0-36-0,intvr,eyF,4615.384615384615,0.0015122519737787998,0.0010150575545727208,1,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
4,-0.004977063662129332,-0.004201175387383705,0.00037070684438365463,0.000981949179544817,UT_017,0-0-36-0,intvr,eyF,4615.384615384615,-0.007773129885567745,-0.00411469961418498,1,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
0,4.261270415866016,5.323294224537503,5.52458807416601,0.0006360078079142891,UT_017,0-0-81-0,intvr,eyF,5512.820512820513,3.9033523567676234,2.732521564258785,1,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
1,0.04640242337042282,-0.026462387976905803,0.003429131837499855,0.0006360078079142891,UT_017,0-0-81-0,intvr,eyF,5512.820512820513,0.4243096427324715,-0.03935922537266899,1,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
2,0.005165532578283196,-0.0023848945978283084,0.005164878406842567,0.0006360078079142891,UT_017,0-0-81-0,intvr,eyF,5512.820512820513,-0.17231705266796077,-0.033034328222695766,1,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
3,-0.015603753152628538,0.0018693458652740643,0.0058277818080411554,0.0006360078079142891,UT_017,0-0-81-0,intvr,eyF,5512.820512820513,-0.041818044737869264,0.003931752363157041,1,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
4,-0.010469479847388595,-0.003107792117159007,-0.0018483367788098364,0.0006360078079142891,UT_017,0-0-81-0,intvr,eyF,5512.820512820513,0.09418023154600579,0.0064562083448636565,1,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
0,4.374891749922731,5.226605702147046,5.459275690351528,0.0018032066163314096,UT_017,0-0-151-2,intvr,eyF,5512.820512820513,1.120976783335209,2.607569511208307,1,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
1,-0.031826970539246484,-0.018778675533123033,-0.016795330463923425,0.0018032066163314096,UT_017,0-0-151-2,intvr,eyF,5512.820512820513,2.699490923434496,0.05211520432485517,1,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
2,0.02034481367212988,0.009875689548867432,0.00344310658771207,0.0018032066163314096,UT_017,0-0-151-2,intvr,eyF,5512.820512820513,-1.6065696086734533,-0.02415523229365013,1,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
3,0.014208049830766536,-0.000049430819501035126,0.0009632670117421907,0.0018032066163314096,UT_017,0-0-151-2,intvr,eyF,5512.820512820513,0.6209565475583076,0.007269179327379527,1,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
4,-0.026812505791277287,-0.005994943674321394,0.005485591938562735,0.0018032066163314096,UT_017,0-0-151-2,intvr,eyF,5512.820512820513,-0.12225214566569775,-0.010071958302517947,1,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
0,4.5549114121665015,5.186382127010126,5.424010303496989,0.0016788278614559083,UT_017,0-0-174-2,intvr,eyF,5512.820512820513,NaN,2.653670439860738,1,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
1,-0.02010569390359161,0.013841064974587763,-0.003806946640192054,0.0016788278614559083,UT_017,0-0-174-2,intvr,eyF,5512.820512820513,NaN,0.051790250761131196,1,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
2,0.008040717007634845,-0.0033198714301932654,0.0021450547894408425,0.0016788278614559083,UT_017,0-0-174-2,intvr,eyF,5512.820512820513,NaN,-0.0165519786172445,1,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
3,-0.0005047916502717209,-0.0001973755094886917,-0.0046465717313346625,0.0016788278614559083,UT_017,0-0-174-2,intvr,eyF,5512.820512820513,NaN,0.005293304794454944,1,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
4,-0.0013972044020001458,-0.0037535939022159044,-0.005155517250389629,0.0016788278614559083,UT_017,0-0-174-2,intvr,eyF,5512.820512820513,NaN,-0.007501017023388901,1,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
0,4.512715593711501,5.2467018488420045,5.5042919702949495,0.007928690089422867,UT_017,0-0-194-2,intvr,eyF,4794.871794871795,-0.2725825309753418,2.656462752036567,1,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
1,0.015450474745806896,-0.023266324433803373,-0.03624794942225329,0.007928690089422867,UT_017,0-0-194-2,intvr,eyF,4794.871794871795,4.821658626198769,0.050169847070151465,1,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
2,-0.004323228779455484,0.006248069952244492,0.0051781988315247555,0.007928690089422867,UT_017,0-0-194-2,intvr,eyF,4794.871794871795,-3.0303757339715958,0.012636181735446478,1,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
3,-0.028470126469096746,-0.006475181040632163,0.005544571904789595,0.007928690089422867,UT_017,0-0-194-2,intvr,eyF,4794.871794871795,1.200288563966751,-0.006462464381190219,1,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
4,0.015256019620669385,0.007276801291120521,0.004233988228246095,0.007928690089422867,UT_017,0-0-194-2,intvr,eyF,4794.871794871795,-0.2770539904013276,-0.012153739372585626,1,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
0,4.53551392950497,5.197578794950679,5.458294272858796,0.0008012878029039568,UT_017,0-0-208-2,intvr,eyF,4435.897435897436,-24.29874324798584,2.6708102942685485,1,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
1,-0.03805204678434179,-0.012707929400407606,-0.0031213905079812416,0.0008012878029039568,UT_017,0-0-208-2,intvr,eyF,4435.897435897436,32.17031955718994,0.04654396307830577,1,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
2,0.02868603163408339,0.002873337764017975,0.004002189589310375,0.0008012878029039568,UT_017,0-0-208-2,intvr,eyF,4435.897435897436,-17.451518535614014,0.017916312698038395,1,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
3,-0.003999157613483641,-0.001914932658300507,-0.0018041016223322944,0.0008012878029039568,UT_017,0-0-208-2,intvr,eyF,4435.897435897436,5.703422784805298,-0.006108081788060937,1,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
4,-0.03075198980015942,0.006895171554833352,0.0014704924034762597,0.0008012878029039568,UT_017,0-0-208-2,intvr,eyF,4435.897435897436,-0.8649499118328094,0.007895056923911348,1,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
0,4.290825265362752,5.377764529234538,5.730515695697932,0.0016257800673531537,UT_017,0-0-290-0,intvr,eyF,7666.666666666666,3.327495161422628,2.7368875125159433,1,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
1,0.043929749884298,-0.07878561902545425,-0.04326827780419787,0.0016257800673531537,UT_017,0-0-290-0,intvr,eyF,7666.666666666666,0.13368554838930885,0.0077223012868271506,1,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
2,0.005141212861049173,-0.01780049645753848,-0.00753258460623628,0.0016257800673531537,UT_017,0-0-290-0,intvr,eyF,7666.666666666666,0.11116702787330411,0.0031904512478819202,1,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
3,-0.004219538646218122,-0.005877589499663724,-0.009189755946054394,0.0016257800673531537,UT_017,0-0-290-0,intvr,eyF,7666.666666666666,0.07384017732179156,0.0010891223880194016,1,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
4,-0.013240589135514525,-0.012372635423088953,-0.00987944447934465,0.0016257800673531537,UT_017,0-0-290-0,intvr,eyF,7666.666666666666,0.03628555983926812,0.0021235683847731224,1,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
