param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.567355755515809,5.12687874602587,5.47150554090432,0.0063178160728180255,UT_009,0-0-1-1,intvr,ae,5333.333333333333,3.864018994566436,2.6528932817690287,1,5,thank,1,0.5500000000000003,"",you,TH,NG,TH,NG,internal
1,0.01434234625889108,-0.012735416368896128,0.0012126974274310177,0.0063178160728180255,UT_009,0-0-1-1,intvr,ae,5333.333333333333,-0.11805331617642878,0.027937437534687033,1,5,thank,1,0.5500000000000003,"",you,TH,NG,TH,NG,internal
2,0.014997061556137083,0.011169723137599829,0.0046453074287628624,0.0063178160728180255,UT_009,0-0-1-1,intvr,ae,5333.333333333333,-0.36229092471194235,-0.05492248607784499,1,5,thank,1,0.5500000000000003,"",you,TH,NG,TH,NG,internal
3,-0.007480491544276815,0.005107602422312861,-0.00279693286365565,0.0063178160728180255,UT_009,0-0-1-1,intvr,ae,5333.333333333333,-0.2342986494404613,0.007996249861447202,1,5,thank,1,0.5500000000000003,"",you,TH,NG,TH,NG,internal
4,-0.00525053165809729,-0.0024069820238567636,0.008051782895410153,0.0063178160728180255,UT_009,0-0-1-1,intvr,ae,5333.333333333333,-0.1896188482189416,-0.015904938000085453,1,5,thank,1,0.5500000000000003,"",you,TH,NG,TH,NG,internal
0,4.524958009117972,5.181278431906677,5.576004153969421,0.000982383675283777,UT_009,0-0-42-0,intvr,ae,5692.3076923076915,3.1993380942487386,2.7526974908440467,1,5,ask,1,0.15000000000000036,i,basic,#,S,ay,S,initial
1,-0.020622734551034697,0.06203844673752966,0.013305983044972203,0.000982383675283777,UT_009,0-0-42-0,intvr,ae,5692.3076923076915,0.020804823462582056,0.013376807068836519,1,5,ask,1,0.15000000000000036,i,basic,#,S,ay,S,initial
2,-0.03084220964780197,0.003143889678342048,0.002106016476939454,0.000982383675283777,UT_009,0-0-42-0,intvr,ae,5692.3076923076915,-0.0045562994912996535,-0.01811163587094096,1,5,ask,1,0.15000000000000036,i,basic,#,S,ay,S,initial
3,-0.002833381781886901,0.0022756197374668623,0.013341660735865263,0.000982383675283777,UT_009,0-0-42-0,intvr,ae,5692.3076923076915,-0.00040242091547165737,0.010781839204665793,1,5,ask,1,0.15000000000000036,i,basic,#,S,ay,S,initial
4,-0.005062282625192678,0.007416318935472326,0.0024711686225522703,0.000982383675283777,UT_009,0-0-42-0,intvr,ae,5692.3076923076915,-0.0010820488117279647,-0.008614615338107257,1,5,ask,1,0.15000000000000036,i,basic,#,S,ay,S,initial
0,4.402420656746024,5.246717470310547,5.544344336600441,0.00009020314548868347,UT_009,0-0-74-1,intvr,ae,4974.358974358975,3.1957555946513403,2.6589300074463154,1,5,that,1,0.059999000000001246,something,you,DH,T,DH,T,internal
1,0.04192412374848267,-0.010876495928912171,0.004253540503265268,0.00009020314548868347,UT_009,0-0-74-1,intvr,ae,4974.358974358975,0.008941191636350201,-0.006104207813998563,1,5,that,1,0.059999000000001246,something,you,DH,T,DH,T,internal
2,-0.02055330553319594,0.0011606775905500532,0.00811044917840898,0.00009020314548868347,UT_009,0-0-74-1,intvr,ae,4974.358974358975,-0.0026641247737977003,0.003625733243316276,1,5,that,1,0.059999000000001246,something,you,DH,T,DH,T,internal
3,0.0029542700182352668,-0.008423651861800375,0.003986085314480667,0.00009020314548868347,UT_009,0-0-74-1,intvr,ae,4974.358974358975,0.0034850701877213084,-0.0010402622689369423,1,5,that,1,0.059999000000001246,something,you,DH,T,DH,T,internal
4,-0.0039045149713372988,-0.004870051248585408,-0.0027728815361890446,0.00009020314548868347,UT_009,0-0-74-1,intvr,ae,4974.358974358975,-0.00005855986494687533,-0.00005866213172467383,1,5,that,1,0.059999000000001246,something,you,DH,T,DH,T,internal
0,4.500615586973084,5.2238653332684875,5.570200433449672,0.000252706714136832,UT_009,0-0-80-0,intvr,ae,5153.846153846154,3.2202058027105522,2.604635810698233,1,5,and,1,0.0799999999999983,"",then,#,N,"",N,initial
1,-0.007959341961948977,0.009619189416891992,0.0056059951429724775,0.000252706714136832,UT_009,0-0-80-0,intvr,ae,5153.846153846154,-0.04789310510386713,-0.07312534541391602,1,5,and,1,0.0799999999999983,"",then,#,N,"",N,initial
2,0.003300319395266456,0.005777277376821439,0.011105648960618653,0.000252706714136832,UT_009,0-0-80-0,intvr,ae,5153.846153846154,-0.023653383657801896,-0.016723979674773126,1,5,and,1,0.0799999999999983,"",then,#,N,"",N,initial
3,-0.009855155759776928,0.0012479572533522245,0.014123065569473124,0.000252706714136832,UT_009,0-0-80-0,intvr,ae,5153.846153846154,-0.014134391578409122,0.0024205594259152363,1,5,and,1,0.0799999999999983,"",then,#,N,"",N,initial
4,-0.0014685804779071812,0.0028512745491470395,0.013357919724019694,0.000252706714136832,UT_009,0-0-80-0,intvr,ae,5153.846153846154,-0.002782827341434313,0.0022937296103771043,1,5,and,1,0.0799999999999983,"",then,#,N,"",N,initial
0,4.555111389801863,5.1013638575488995,5.633950380780786,0.0011405583137550513,UT_009,0-0-84-1,intvr,ae,5512.820512820513,3.5586783903653165,2.642153349273291,1,5,last,1,0.09000100000000089,the,part,L,S,L,S,internal
1,0.033742892198930854,-0.01896347276769153,0.00626872866602327,0.0011405583137550513,UT_009,0-0-84-1,intvr,ae,5512.820512820513,-0.06786865507081008,0.014447420702302982,1,5,last,1,0.09000100000000089,the,part,L,S,L,S,internal
2,-0.034577004886167585,-0.002445527714202057,-0.011736345525117289,0.0011405583137550513,UT_009,0-0-84-1,intvr,ae,5512.820512820513,-0.007420848564980624,-0.0010778576396766049,1,5,last,1,0.09000100000000089,the,part,L,S,L,S,internal
3,0.01851832542891074,0.008440351922612787,-0.0058837742357482495,0.0011405583137550513,UT_009,0-0-84-1,intvr,ae,5512.820512820513,-0.002448987213435689,0.010667270007939877,1,5,last,1,0.09000100000000089,the,part,L,S,L,S,internal
4,-0.014854722933077344,-0.026390282340815457,-0.005627461356369897,0.0011405583137550513,UT_009,0-0-84-1,intvr,ae,5512.820512820513,0.00032459334149740997,-4.3342420297243223e-7,1,5,last,1,0.09000100000000089,the,part,L,S,L,S,internal
0,4.529362519933366,5.166058601801656,5.630818537513331,0.0035136229225916802,UT_009,0-0-97-1,intvr,ae,6410.25641025641,3.252882712354247,2.6951319091613137,1,5,have,1,0.1399990000000031,i,forty,HH,V,HH,V,internal
1,0.06289214981299937,0.02129747800032698,-0.011642011797915594,0.0035136229225916802,UT_009,0-0-97-1,intvr,ae,6410.25641025641,0.01208454577952275,0.018743116999509365,1,5,have,1,0.1399990000000031,i,forty,HH,V,HH,V,internal
2,-0.040861229928929835,0.037209368760259605,-0.006704265872723331,0.0035136229225916802,UT_009,0-0-97-1,intvr,ae,6410.25641025641,0.014326725710576395,0.005324334450986734,1,5,have,1,0.1399990000000031,i,forty,HH,V,HH,V,internal
3,0.014452425555895727,-0.007673719480396568,0.0009815090334173548,0.0035136229225916802,UT_009,0-0-97-1,intvr,ae,6410.25641025641,-0.0005838262016627971,-0.010429238391596726,1,5,have,1,0.1399990000000031,i,forty,HH,V,HH,V,internal
4,-0.009641949986017527,0.011820294441982307,0.029288981343834824,0.0035136229225916802,UT_009,0-0-97-1,intvr,ae,6410.25641025641,-0.0018380046988751945,-0.0010262300192563356,1,5,have,1,0.1399990000000031,i,forty,HH,V,HH,V,internal
0,4.412106899241311,5.268650234222746,5.580771814847027,0.0016491372001751926,UT_009,0-0-101-0,intvr,ae,5333.333333333333,3.2992990399972855,2.7273060867631744,1,5,and,1,0.2700010000000006,"",i,#,N,"",N,initial
1,0.012792362404010077,0.005948653104044476,0.014614918624577018,0.0016491372001751926,UT_009,0-0-101-0,intvr,ae,5333.333333333333,0.011271223050541401,-0.02531664857632105,1,5,and,1,0.2700010000000006,"",i,#,N,"",N,initial
2,-0.013280896722487799,-0.002400361004936466,0.007069264648602315,0.0016491372001751926,UT_009,0-0-101-0,intvr,ae,5333.333333333333,0.005945161827944023,-0.02262519661851714,1,5,and,1,0.2700010000000006,"",i,#,N,"",N,initial
3,0.0015159063892368507,-0.0030583455799835938,-0.0030211841798597496,0.0016491372001751926,UT_009,0-0-101-0,intvr,ae,5333.333333333333,0.007138183052107561,-0.021125101508074437,1,5,and,1,0.2700010000000006,"",i,#,N,"",N,initial
