F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
603.2059536911181,1671.3841702637894,2368.244098926538,3.1718880532901723,3.7028087948665913,4.140379740085008,4974.358974358975,0.006378324063438435,1.8193528344671202,0.057,0.17065868263473052,0-0-1-2,eyF,UT_017,intvr,1,fave,300.78651032787496,44.63529158900909,4,okay,1,0.31000000000000005,"","",K,#,K,"",final
437.6474667697486,1730.118626719702,2458.1233911766767,2.0072469138221267,3.706381196588895,3.7201545463839807,4615.384615384615,0.000981949179544817,13.36674716553288,0.053000000000000005,0.2880434782608696,0-0-36-0,eyF,UT_017,intvr,1,fave,395.85177590627535,47.82194223068664,4,a,1,0.16000000000000014,is,interview,#,#,Z,i,coextensive
461.88672313526666,1795.6186510444536,2478.2000625911296,2.3580529411998783,3.0931388093136634,3.3179254426744054,5512.820512820513,0.0006360078079142891,29.815552834467123,0.061000000000000006,0.29901960784313725,0-0-81-0,eyF,UT_017,intvr,1,fave,304.4205852820147,47.80406273679653,4,a,1,0.17999999999999972,is,reading,#,#,Z,R,coextensive
549.4273903478827,1693.7870169735681,2293.8509655244848,3.5486035599812222,3.8071431277493626,3.9990312633404,5512.820512820513,0.0018032066163314096,90.99145183446711,0.08299999999999999,0.6693548387096774,0-0-151-2,eyF,UT_017,intvr,1,fave,-258.4406681968573,40.0835497604981,4,okay,1,0.09999900000001105,"","",K,#,K,"",final
663.5114563199885,1470.3474673305157,2168.377494491113,3.0701488522407847,3.745014972373954,4.166305763618947,5512.820512820513,0.0016788278614559083,122.06515183446713,0.10899999999999999,0.8134328358208955,0-0-174-2,eyF,UT_017,intvr,1,fave,NaN,42.76780227646755,4,okay,1,0.10999999999999943,"","",K,#,K,"",final
633.8515793927298,1651.2295044239652,2310.0156329771994,3.473172441054506,4.036282461018644,4.327250496360421,4794.871794871795,0.007928690089422867,153.34875383446712,0.089,0.4158878504672897,0-0-194-2,eyF,UT_017,intvr,1,fave,-311.4464932486706,42.945365361324384,4,okay,1,0.19000199999999268,"","",K,#,K,"",final
691.7780487960714,1574.2223674233132,2261.1073659247604,3.1387026353634164,3.6034827299447767,3.7085928711251275,4435.897435897436,0.0008012878029039568,159.81705416553285,0.08499999999999999,0.6854838709677419,0-0-208-2,eyF,UT_017,intvr,1,fave,-4513.437422982347,43.78900309282489,4,okay,1,0.09999100000001704,"","",K,#,K,"",final
476.1786724133296,1812.2475668700395,3167.847037548486,3.9343180434025813,3.6962364252984092,4.566045567397225,7666.666666666666,0.0016257800673531537,268.7757471655329,0.051000000000000004,0.29310344827586204,0-0-290-0,eyF,UT_017,intvr,1,fave,116.00187651289924,47.97295441846365,4,a,1,0.1499939999999924,on,mission,#,#,N,M,coextensive
564.7723333072811,1676.7918247231303,2425.8625208623207,2.8510787017236563,4.095236368676705,4.0622172570505,5512.820512820513,0.0020329837334961015,351.2326568344671,0.087,0.564935064935065,0-0-310-2,eyF,UT_017,intvr,1,fave,191.63302755381602,48.44171584451632,4,okay,1,0.13000500000003967,"","",K,#,K,"",final
420.60581723251454,1806.0535154057332,2588.5352061441067,1.8373445387944116,3.073430265042919,3.5969955808466083,5692.3076923076915,0.00015918205353169016,373.7411468344671,0.025,0.20161290322580647,0-0-319-1,eyF,UT_017,intvr,1,fave,405.73211288584844,57.07653498894199,4,say,1,0.10000600000000759,you,was,S,#,S,W,final
