param,F1,F2,F3,error,file_name,id,group,label,max_formant,f0,intensity,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,372.82199797223103,901.1709709464315,1642.241044338452,0.004653747675428706,UT_014,0-0-1-0,intvr,ow,4794.871794871795,99.48344741722758,28.875184014514844,1,5,okay,2,0.15000000000000002,"","",#,K,"",K,initial
1,52.27334636269185,114.9824993581428,61.8928419889119,0.004653747675428706,UT_014,0-0-1-0,intvr,ow,4794.871794871795,-15.295433737272479,-1.206304246198766,1,5,okay,2,0.15000000000000002,"","",#,K,"",K,initial
2,-33.95002871514199,6.5465243843862435,40.066338171136216,0.004653747675428706,UT_014,0-0-1-0,intvr,ow,4794.871794871795,-0.3101561277801128,0.3324215741704717,1,5,okay,2,0.15000000000000002,"","",#,K,"",K,initial
3,2.9621718777764388,-14.129570444944186,41.18922434251097,0.004653747675428706,UT_014,0-0-1-0,intvr,ow,4794.871794871795,-0.17411642864182308,-0.06375312412022906,1,5,okay,2,0.15000000000000002,"","",#,K,"",K,initial
4,2.656110523925222,-10.659016917679834,-6.088678398603274,0.004653747675428706,UT_014,0-0-1-0,intvr,ow,4794.871794871795,0.8233941795992372,-0.22343970189704443,1,5,okay,2,0.15000000000000002,"","",#,K,"",K,initial
0,339.111128477652,633.658829785867,1522.1531720725407,0.0025857988632088822,UT_014,0-0-156-1,intvr,ow,5153.846153846154,78.46178374611944,29.198721903411688,1,5,home,1,0.07000000000000028,your,town,HH,M,HH,M,internal
1,13.052662925444976,0.5904600806524027,-31.735332394813913,0.0025857988632088822,UT_014,0-0-156-1,intvr,ow,5153.846153846154,1.3863610089741165,-0.09744717775718925,1,5,home,1,0.07000000000000028,your,town,HH,M,HH,M,internal
2,-6.245053082550145,-13.556279044906644,-1.2764461461127155,0.0025857988632088822,UT_014,0-0-156-1,intvr,ow,5153.846153846154,0.44770160695564415,-0.5923296809766896,1,5,home,1,0.07000000000000028,your,town,HH,M,HH,M,internal
3,4.516397219696714,4.732929492674268,16.971883773080723,0.0025857988632088822,UT_014,0-0-156-1,intvr,ow,5153.846153846154,-0.060865727718572384,0.0057415154063047424,1,5,home,1,0.07000000000000028,your,town,HH,M,HH,M,internal
4,-2.8382680392317408,10.368859158423486,32.24116750462415,0.0025857988632088822,UT_014,0-0-156-1,intvr,ow,5153.846153846154,0.12486249769038925,0.11498566088405582,1,5,home,1,0.07000000000000028,your,town,HH,M,HH,M,internal
0,423.8260986999109,1450.5819373985453,2283.9488639043643,0.0033885318018020876,UT_014,0-0-224-0,intvr,ow,7128.205128205128,150.1233359618286,32.806060287963334,1,5,okay,2,0.08000199999997903,"","",#,K,"",K,initial
1,11.197553155248116,-15.737307481549093,64.68249070599477,0.0033885318018020876,UT_014,0-0-224-0,intvr,ow,7128.205128205128,-2.6651767587302855,0.025034759541036337,1,5,okay,2,0.08000199999997903,"","",#,K,"",K,initial
2,-6.611049449412415,-14.554050146541687,-32.734301691943095,0.0033885318018020876,UT_014,0-0-224-0,intvr,ow,7128.205128205128,-1.1121917960058374,-0.440208360770697,1,5,okay,2,0.08000199999997903,"","",#,K,"",K,initial
3,-22.488422637503753,43.089258004816706,-45.74766908605091,0.0033885318018020876,UT_014,0-0-224-0,intvr,ow,7128.205128205128,0.04166758190591802,-0.3489168411236536,1,5,okay,2,0.08000199999997903,"","",#,K,"",K,initial
4,14.760866005164859,57.14742650225813,-3.2623138520277277,0.0033885318018020876,UT_014,0-0-224-0,intvr,ow,7128.205128205128,-0.9433220339067098,-0.0525612465049079,1,5,okay,2,0.08000199999997903,"","",#,K,"",K,initial
0,312.2267519336204,711.3602243861228,1532.0216239782103,0.0034351746076559156,UT_014,0-0-250-0,intvr,ow,4256.410256410256,151.07688088246525,29.374336401075045,1,5,okay,2,0.11999500000001717,"","",#,K,"",K,initial
1,24.843462486443233,34.42625212978484,4.144286719468974,0.0034351746076559156,UT_014,0-0-250-0,intvr,ow,4256.410256410256,-11.281649142503031,-0.5240801044999506,1,5,okay,2,0.11999500000001717,"","",#,K,"",K,initial
2,-5.342624405482269,9.047811903903154,35.93855493927854,0.0034351746076559156,UT_014,0-0-250-0,intvr,ow,4256.410256410256,-1.69419588522479,-1.222676603720935,1,5,okay,2,0.11999500000001717,"","",#,K,"",K,initial
3,14.459880454515222,1.7915806504057055,10.435306684065417,0.0034351746076559156,UT_014,0-0-250-0,intvr,ow,4256.410256410256,-3.2726929936042715,-0.19508384787252808,1,5,okay,2,0.11999500000001717,"","",#,K,"",K,initial
4,-0.07671032911382984,29.15451444947264,12.928541755246581,0.0034351746076559156,UT_014,0-0-250-0,intvr,ow,4256.410256410256,0.8794445508715674,-0.05776824075967468,1,5,okay,2,0.11999500000001717,"","",#,K,"",K,initial
0,381.3283378398543,728.003928223683,1560.8273744886606,0.0018689435074932782,UT_014,0-0-361-0,intvr,ow,4435.897435897436,165.38246230850928,30.868378616967323,1,5,okay,2,0.08999599999998509,"","",#,K,"",K,initial
1,-6.035777245702383,45.736829306247756,-49.815997184749804,0.0018689435074932782,UT_014,0-0-361-0,intvr,ow,4435.897435897436,-26.57050728518516,0.5657483787081155,1,5,okay,2,0.08999599999998509,"","",#,K,"",K,initial
2,13.019287995622806,36.72130180979919,40.89593858675693,0.0018689435074932782,UT_014,0-0-361-0,intvr,ow,4435.897435897436,6.420502169057727,-0.008098600152517399,1,5,okay,2,0.08999599999998509,"","",#,K,"",K,initial
3,-1.6187553080676655,7.563579888413748,1.9846523442713169,0.0018689435074932782,UT_014,0-0-361-0,intvr,ow,4435.897435897436,-6.322159068658948,0.3103232395680095,1,5,okay,2,0.08999599999998509,"","",#,K,"",K,initial
