id,bhatt,bhatt_dist,pillai,pillai_p,pillai_cutoff
all,0.797574764206631,0.22617970049574646,0.25886854698886236,8.731639655076171e-12,0.031425223450393586
pre-1990,0.7876935102234698,0.23864621120045096,0.21424021796497572,3.106048098024227e-4,0.07766519509882985
post-1990,0.7894253724315055,0.236449974856809,0.2946652639134196,2.6288367534560645e-8,0.052782171426389225
females,0.69469254627001,0.36428591076362055,0.3724075422928275,1.9959137679302705e-9,0.06108498490919202
females (pre-1990),0.721901067419137,0.3258671752134619,0.3178800193123843,6.971956210216574e-4,0.13259911358336807
females (post-1990),0.6434516961127063,0.44090831907934125,0.44579420175306367,1.7084369918467302e-6,0.11326174285246021
males,0.8250152851293824,0.19235336538953238,0.24044055689215132,1.4546267840596992e-5,0.06472099591569155
males (pre-1990),0.8302639056097247,0.18601167016367245,0.16584561125768282,0.09466811032672817,0.18746771230752035
males (post-1990),0.7760400421153963,0.25355115946601625,0.29356236999605745,1.1910210755356458e-4,0.09884661194396528
